unix,low,high,open,close,volume,date,vol_fiat
1629158400,1.026397,1.036228,1.027402,1.035903,24887.24649,2021-08-17,25780.77330073047
1629072000,1.013655,1.112549,1.063181,1.027844,5705791.50292,2021-08-16,5864663.561527304
1628985600,1.002971,1.075688,1.069931,1.063154,4534943.05177,2021-08-15,4821342.845261482
1628899200,1.013031,1.098996,1.06043,1.069931,7579981.56933,2021-08-14,8110057.260454817
1628812800,0.920969,1.060305,0.952871,1.059698,7343553.82933,2021-08-13,7781949.3058333425
1628726400,0.908951,1.025819,0.995356,0.953192,6722681.58266,2021-08-12,6408006.303138851
1628640000,0.95435,1.043339,0.975401,0.994547,8167592.03321,2021-08-11,8123054.153852905
1628553600,0.921,0.991797,0.95548,0.975149,5258667.22438,2021-08-10,5127984.085186932
1628467200,0.88904,0.965412,0.932233,0.955287,7412579.06038,2021-08-09,7081140.412853229
1628380800,0.912047,1.049993,0.933322,0.931619,14081302.37458,2021-08-08,13118408.836903844
1628294400,0.88152,0.938472,0.896887,0.933557,7752322.10322,2021-08-07,7237234.5657157535
1628208000,0.85794,0.903344,0.890036,0.896887,4275940.26018,2021-08-06,3835035.23213206
1628121600,0.838806,0.920765,0.87071,0.890035,9474090.54453,2021-08-05,8432272.17780076
1628035200,0.824265,0.874476,0.857364,0.870409,7165091.2735,2021-08-04,6236559.930275861
1627948800,0.775865,0.858965,0.817278,0.857855,6523605.38722,2021-08-03,5596307.499453614
1627862400,0.755313,0.823933,0.780171,0.816104,3089213.51623,2021-08-02,2521119.507449368
1627776000,0.774162,0.845707,0.819048,0.779933,3934860.20646,2021-08-01,3068927.325404967
1627689600,0.765575,0.870171,0.779999,0.818632,10559211.64514,2021-07-31,8644108.547484249
1627603200,0.717594,0.779999,0.757558,0.779638,3013155.7413,2021-07-30,2349170.7158356495
1627516800,0.687228,0.779699,0.707972,0.757417,4945697.49014,2021-07-29,3745955.355889369
1627430400,0.689147,0.726017,0.709741,0.707685,3206879.88487,2021-07-28,2269460.791324226
1627344000,0.656743,0.756687,0.675315,0.71004,5706665.68692,2021-07-27,4051960.904340677
1627257600,0.65536,0.725471,0.659213,0.675315,5446636.19981,2021-07-26,3678195.1252746903
1627171200,0.631605,0.66167,0.658454,0.659023,1515268.17945,2021-07-25,998596.5814256774
1627084800,0.643161,0.677211,0.652,0.65812,2452693.51767,2021-07-24,1614166.6578489805
1626998400,0.605766,0.654131,0.641526,0.651157,2045242.67563,2021-07-23,1331774.084935204
