,unix,low,high,open,close,volume,date,vol_fiat,pair
0,1629158400,45860.0,46093.25,45903.22,45925.67,51.44081814,2021-08-17,2362454.0384276537,BTC/USD
1,1629072000,45676.91,48076.52,47014.38,45902.46,10467.66031475,2021-08-16,480491358.8913993,BTC/USD
2,1628985600,45525.19,47400.0,47109.64,47014.49,7745.70200802,2021-08-15,364160229.5990362,BTC/USD
3,1628899200,46034.93,48176.52,47833.64,47109.65,8130.36769388,2021-08-14,383018776.4299939,BTC/USD
4,1628812800,44249.64,47953.9,44422.15,47833.64,11794.94196257,2021-08-13,564195007.6584668,BTC/USD
5,1628726400,43714.36,46223.95,45553.1,44422.14,13169.78176994,2021-08-12,585029889.5537225,BTC/USD
6,1628640000,45350.74,46781.09,45601.82,45553.49,11628.32043954,2021-08-11,529710578.859381,BTC/USD
7,1628553600,44650.27,46718.44,46280.0,45595.66,13756.50066875,2021-08-10,627236727.2820977,BTC/USD
8,1628467200,42821.3,46497.42,43829.15,46285.48,19464.72493503,2021-08-09,900934136.6858324,BTC/USD
9,1628380800,43131.97,45363.83,44628.11,43829.14,18712.27158173,2021-08-08,820142770.8736657,BTC/USD
10,1628294400,42457.27,44750.0,42869.59,44637.34,19634.79475606,2021-08-07,876445009.3564672,BTC/USD
11,1628208000,39876.74,43399.26,40888.73,42869.58,20425.1145444,2021-08-06,875616081.9703194,BTC/USD
12,1628121600,37300.0,41447.89,39718.9,40888.74,28507.85532682,2021-08-05,1165650284.415958,BTC/USD
13,1628035200,37509.0,39965.1,38189.4,39722.41,15327.67624669,2021-08-04,608852240.2182814,BTC/USD
14,1627948800,37627.21,39785.3,39149.59,38191.44,15094.81739624,2021-08-03,576492812.8994563,BTC/USD
15,1627862400,38690.0,40459.68,39859.18,39149.59,12379.41216528,2021-08-02,484648910.7117242,BTC/USD
16,1627776000,39426.0,42605.64,41499.0,39865.41,10617.67293456,2021-08-01,423277884.7821376,BTC/USD
17,1627689600,41064.11,42414.61,42233.66,41495.01,9351.94288576,2021-07-31,388058963.56404006,BTC/USD
18,1627603200,38342.0,42320.57,40039.44,42237.95,15063.2344059,2021-07-30,636240141.6746839,BTC/USD
19,1627516800,39229.47,40644.85,40035.1,40039.44,11022.42512817,2021-07-29,441331729.57385504,BTC/USD
20,1627430400,38803.34,40925.56,39475.99,40035.1,27198.33358111,2021-07-28,1088888004.753097,BTC/USD
21,1627344000,36413.26,39550.0,37262.76,39470.48,24709.10440908,2021-07-27,975280211.396504,BTC/USD
22,1627257600,35251.54,40593.93,35428.25,37262.77,40354.54555841,2021-07-26,1503722149.5975533,BTC/USD
23,1627171200,33888.89,35451.04,34291.67,35428.26,9434.63002297,2021-07-25,334252525.4575871,BTC/USD
24,1627084800,33424.7,34525.0,33647.27,34283.01,9864.75243703,2021-07-24,338193406.44622386,BTC/USD
25,1626998400,32000.0,33647.27,32287.75,33647.26,9004.84262627,2021-07-23,302988281.1051895,BTC/USD
26,1626912000,31729.68,32611.84,32152.68,32287.74,7704.6404628,2021-07-22,248765428.0563661,BTC/USD
27,1626825600,29501.02,32825.0,29796.15,32135.19,15598.47830878,2021-07-21,501260064.163524,BTC/USD
28,1626739200,29301.56,31052.65,30842.04,29796.16,18114.15286104,2021-07-20,539732196.9120055,BTC/USD
29,1626652800,30429.99,31887.82,31786.37,30842.03,11027.00528966,2021-07-19,340095227.9538524,BTC/USD
30,1626566400,31125.6,32450.0,31533.9,31788.25,5006.4831051,2021-07-18,159147336.56569508,BTC/USD
31,1626480000,31179.01,31949.99,31389.57,31533.91,5695.57411588,2021-07-17,179603721.5684895,BTC/USD
32,1626393600,31025.42,32259.16,31872.49,31388.06,10006.47793721,2021-07-16,314083929.8818237,BTC/USD
33,1626307200,31064.77,33187.6,32815.75,31868.68,11273.61174025,2021-07-15,359275124.9942704,BTC/USD
34,1626220800,31600.0,33125.55,32734.14,32816.39,10355.3186961,2021-07-14,339824176.90550905,BTC/USD
35,1626134400,32201.12,33337.61,33077.43,32734.14,9478.04218884,2021-07-13,310255559.935395,BTC/USD
36,1626048000,32665.0,34670.0,34259.22,33091.1,10145.24046995,2021-07-12,335717166.91516244,BTC/USD
37,1625961600,33333.33,34607.37,33515.35,34259.23,7023.06500489,2021-07-11,240604799.30747765,BTC/USD
38,1625875200,33027.83,34267.14,33824.25,33515.35,4906.24582215,2021-07-10,164434545.915395,BTC/USD
39,1625788800,32255.24,34100.0,32875.95,33824.26,8320.90649257,2021-07-09,281448504.6403758,BTC/USD
40,1625702400,32111.0,33934.62,33879.5,32875.95,14147.3525248,2021-07-08,465107654.23769855,BTC/USD
41,1625616000,33770.01,35077.46,34225.72,33878.56,9404.8979867,2021-07-07,318624400.7362951,BTC/USD
42,1625529600,33300.0,35100.0,33697.78,34225.73,10313.01368118,2021-07-06,352970421.7383728,BTC/USD
43,1625443200,33156.86,35290.82,35284.06,33697.78,9607.60619891,2021-07-05,323755000.0175054,BTC/USD
44,1625356800,34390.53,35951.0,34685.03,35284.05,6224.03057033,2021-07-04,219609005.84505224,BTC/USD
45,1625270400,33320.0,34953.07,33805.01,34682.16,6197.80112922,2021-07-03,214953130.41178876,BTC/USD
46,1625184000,32704.73,33972.06,33510.93,33805.02,11765.65389836,2021-07-02,397738165.34713775,BTC/USD
47,1625097600,32703.48,35066.54,35060.0,33516.11,13210.9509733,2021-07-01,442779686.0257298,BTC/USD
48,1625011200,34033.0,36094.42,35906.17,35060.0,16700.72309396,2021-06-30,585527351.6742376,BTC/USD
49,1624924800,34233.35,36675.0,34493.22,35904.28,17917.59826258,2021-06-29,643318464.9471858,BTC/USD
50,1624838400,33864.99,35301.43,34708.53,34493.22,14920.2647883,2021-06-28,514647975.80108535,BTC/USD
51,1624752000,32002.21,34749.0,32267.59,34709.23,14428.92978925,2021-06-27,500817042.7089298,BTC/USD
52,1624665600,30173.49,32711.68,31594.62,32275.19,18299.38702942,2021-06-26,590616193.258066,BTC/USD
53,1624579200,31300.0,35500.0,34654.87,31594.63,26505.19266978,2021-06-25,837421755.4804113,BTC/USD
54,1624492800,32300.0,35295.67,33688.51,34654.58,16868.94084747,2021-06-24,584586060.1139169,BTC/USD
55,1624406400,31708.03,34881.02,32538.9,33688.35,23124.81248294,2021-06-23,779036776.6096517,BTC/USD
56,1624320000,28800.0,33352.0,31609.82,32538.37,48409.17333487,2021-06-22,1575155593.3641338,BTC/USD
57,1624233600,31259.0,35741.54,35585.79,31609.82,41304.39903519,2021-06-21,1305624618.7105296,BTC/USD
58,1624147200,33347.05,36139.73,35484.8,35585.78,19400.07454207,2021-06-20,690366784.6377038,BTC/USD
59,1624060800,34833.26,36457.18,35840.96,35484.79,16801.08670642,2021-06-19,596183033.5491053,BTC/USD
60,1623974400,35153.16,38216.22,38103.94,35841.81,23472.37724375,2021-06-18,841292485.4188112,BTC/USD
61,1623888000,37365.63,39554.98,38351.0,38095.17,15970.35031651,2021-06-17,608393210.2670022,BTC/USD
62,1623801600,38105.0,40499.0,40158.06,38351.0,17238.57541183,2021-06-16,661116605.6190923,BTC/USD
63,1623715200,39510.98,41322.55,40537.93,40162.37,17020.70299457,2021-06-15,683591771.3280284,BTC/USD
64,1623628800,38744.83,41076.03,39015.24,40539.47,21916.84415956,2021-06-14,888497246.301158,BTC/USD
65,1623542400,34780.57,39396.0,35557.32,39015.24,15748.96203951,2021-06-13,614449533.722372,BTC/USD
66,1623456000,34635.47,37448.0,37340.08,35557.33,14516.54556279,2021-06-12,516169601.03615975,BTC/USD
67,1623369600,35944.0,37695.0,36694.91,37338.44,14142.19349961,2021-06-11,528047443.45357805,BTC/USD
68,1623283200,35800.0,38425.67,37404.75,36694.05,19853.81418911,2021-06-10,728516850.5459118,BTC/USD
69,1623196800,32408.53,37573.99,33402.13,37403.86,26040.89793254,2021-06-09,974030100.5430156,BTC/USD
70,1623110400,31004.95,34069.0,33567.26,33402.13,34937.55754915,2021-06-08,1166988839.1391895,BTC/USD
71,1623024000,33333.0,36812.39,35800.48,33575.91,18997.71626987,2021-06-07,637865611.682691,BTC/USD
72,1622937600,35258.0,36477.86,35539.97,35800.48,8184.50324318,2021-06-06,293009144.6674008,BTC/USD
73,1622851200,34832.17,37921.35,36856.53,35539.49,13654.69033381,2021-06-05,485280730.57153714,BTC/USD
74,1622764800,35593.22,39291.24,39248.54,36856.52,17917.63251152,2021-06-04,660381581.0134871,BTC/USD
75,1622678400,37184.88,39489.82,37581.83,39248.55,14325.7560692,2021-06-03,562265153.3697997,BTC/USD
76,1622592000,35920.0,38237.37,36684.99,37577.91,13952.35891376,2021-06-02,524300487.5489711,BTC/USD
77,1622505600,35669.14,37918.97,37276.23,36685.0,15713.10281689,2021-06-01,576435176.8376096,BTC/USD
78,1622419200,34183.0,37534.09,35669.44,37279.31,19527.11600162,2021-05-31,727957410.8303524,BTC/USD
79,1622332800,33333.0,36500.0,34627.81,35669.44,16038.94658082,2021-05-30,572100242.7277641,BTC/USD
80,1622246400,33650.86,37325.0,35680.48,34627.82,27999.15073256,2021-05-29,969549551.7199558,BTC/USD
81,1622160000,34688.0,38900.0,38556.88,35680.47,36231.72333985,2021-05-28,1292764917.675818,BTC/USD
82,1622073600,37191.99,40440.95,39293.23,38556.88,19390.89447264,2021-05-27,747652391.2742437,BTC/USD
83,1621987200,37837.36,40900.0,38361.81,39293.23,25107.68631485,2021-05-26,986562093.1372536,BTC/USD
84,1621900800,36481.26,39878.51,38874.53,38361.81,26107.55687287,2021-05-25,1001533136.3212328,BTC/USD
85,1621814400,34407.17,39966.87,34758.88,38878.56,44419.45827713,2021-05-24,1726964573.7948952,BTC/USD
86,1621728000,31111.0,38319.36,37476.84,34758.67,53433.30296532,2021-05-23,1857270544.7815795,BTC/USD
87,1621641600,35257.52,38889.76,37333.09,37476.83,29239.02738254,2021-05-22,1095786058.5807965,BTC/USD
88,1621555200,33501.54,42275.99,40623.24,37340.77,55961.90006046,2021-05-21,2089660438.9206228,BTC/USD
89,1621468800,35000.0,42605.0,36735.44,40623.33,51445.79735691,2021-05-20,2089899603.1428828,BTC/USD
90,1621382400,30000.0,43591.7,42865.05,36731.75,109537.24233282,2021-05-19,4023494601.058561,BTC/USD
91,1621296000,42300.0,45851.0,43571.89,42857.15,28210.30024018,2021-05-18,1209013068.9384303,BTC/USD
92,1621209600,42101.0,46646.15,46450.78,43580.5,43660.22208427,2021-05-17,1902734308.5435288,BTC/USD
93,1621123200,43825.0,49808.28,46771.01,46450.79,30655.33064729,2021-05-16,1423964326.2778318,BTC/USD
94,1621036800,46573.0,50730.58,49893.48,46775.51,21936.11454712,2021-05-15,1026072945.3599572,BTC/USD
95,1620950400,48895.0,51569.56,49682.28,49893.48,21987.79362448,2021-05-14,1097047541.4471204,BTC/USD
96,1620864000,46000.0,52500.0,49498.76,49690.11,42250.08740789,2021-05-13,2099411490.8076687,BTC/USD
97,1620777600,48500.0,58041.0,56753.19,49498.77,29660.84273553,2021-05-12,1468175232.5721705,BTC/USD
98,1620691200,54511.48,56962.07,55866.38,56753.19,15446.63591676,2021-05-11,876645863.0447046,BTC/USD
99,1620604800,53600.0,59592.2,58313.84,55866.41,24647.23540718,2021-05-10,1376952558.624035,BTC/USD
100,1620518400,56265.3,59300.52,58958.06,58312.57,17169.72318523,2021-05-09,1001210685.1193472,BTC/USD
101,1620432000,56980.01,59559.84,57380.39,58958.05,15374.94442964,2021-05-08,906476742.4299366,BTC/USD
102,1620345600,55300.0,58735.95,56444.82,57380.39,18323.8958022,2021-05-07,1051432287.4495988,BTC/USD
103,1620259200,55288.0,58400.0,57515.69,56440.66,18244.13605211,2021-05-06,1029711079.9108828,BTC/USD
104,1620172800,52913.02,57980.86,53241.91,57515.69,22918.90458572,2021-05-05,1318196611.29185,BTC/USD
105,1620086400,53057.7,57247.24,57212.73,53241.92,23492.0586849,2021-05-04,1250762309.136751,BTC/USD
106,1620000000,56500.0,58986.0,56625.21,57212.73,15165.00648795,2021-05-03,867631421.6433316,BTC/USD
107,1619913600,56072.0,57972.26,57859.28,56625.2,7647.62578087,2021-05-02,433048339.36691993,BTC/USD
108,1619827200,57050.94,58550.0,57798.77,57859.28,10787.04933216,2021-05-01,624130907.6832584,BTC/USD
109,1619740800,53068.43,58075.01,53580.0,57798.77,16536.33288912,2021-04-30,955779701.3016824,BTC/USD
110,1619654400,52369.61,55226.86,54889.81,53580.0,14592.31688772,2021-04-29,781856338.8440377,BTC/USD
111,1619568000,53887.0,56476.17,55069.61,54894.03,16484.33677655,2021-04-28,904891677.542039,BTC/USD
112,1619481600,53321.0,55509.39,54047.8,55069.62,13957.08649512,2021-04-27,768611449.5933903,BTC/USD
113,1619395200,48817.62,54400.0,49121.0,54053.6,18005.22399425,2021-04-26,973247175.6955916,BTC/USD
114,1619308800,47044.01,50591.38,50101.42,49121.0,14633.51206544,2021-04-25,718812746.1664783,BTC/USD
115,1619222400,48726.87,51260.61,51187.75,50089.15,11839.14355893,2021-04-24,593012637.5947787,BTC/USD
116,1619136000,47464.65,52130.58,51695.98,51187.27,38794.85818376,2021-04-23,1985802880.4638329,BTC/USD
117,1619049600,50400.0,55469.98,53795.62,51701.59,30427.89153907,2021-04-22,1573170372.917466,BTC/USD
118,1618963200,53620.91,56810.56,56477.67,53800.86,15584.08398293,2021-04-21,838437120.5938593,BTC/USD
119,1618876800,53430.01,57111.0,55696.83,56499.29,18608.27983583,2021-04-20,1051354598.8457116,BTC/USD
120,1618790400,54187.85,57600.0,56273.65,55696.83,16838.39171629,2021-04-19,937845040.8956124,BTC/USD
121,1618704000,51300.0,60437.97,60067.2,56274.41,36891.70959047,2021-04-18,2076059191.0950413,BTC/USD
122,1618617600,59700.0,62572.48,61427.27,60058.86,10847.76785762,2021-04-17,651504571.0732995,BTC/USD
123,1618531200,60048.43,63604.34,63229.04,61427.27,19867.41322269,2021-04-16,1220400956.2317486,BTC/USD
124,1618444800,62036.73,63831.82,62971.8,63229.04,11209.4505281,2021-04-15,708762795.8192561,BTC/USD
125,1618358400,61277.91,64899.0,63588.22,62971.8,22570.84113444,2021-04-14,1421326493.749729,BTC/USD
126,1618272000,59799.01,63774.39,59836.88,63588.22,17897.76603088,2021-04-13,1138087083.8801243,BTC/USD
127,1618185600,59369.0,61199.0,59983.66,59839.82,11467.72752999,2021-04-12,686226751.2036462,BTC/USD
128,1618099200,59177.06,60658.89,59778.59,59985.26,7278.96516665,2021-04-11,436630618.0524436,BTC/USD
129,1618012800,57875.41,61218.97,58092.68,59778.6,12817.81106734,2021-04-10,766230800.6700909,BTC/USD
130,1617926400,57670.51,58869.69,58083.1,58092.68,8094.74629652,2021-04-09,470245506.2849215,BTC/USD
131,1617840000,55700.0,58152.0,55962.67,58083.1,8073.59731731,2021-04-08,468939560.3410485,BTC/USD
132,1617753600,55400.0,58630.0,58021.67,55955.75,17787.29445084,2021-04-07,995301401.4675905,BTC/USD
133,1617667200,57333.33,59475.0,59134.07,58019.98,10354.33014603,2021-04-06,600758027.9860578,BTC/USD
134,1617580800,56817.64,59251.76,58216.73,59123.02,9204.86323941,2021-04-05,544219313.4009023,BTC/USD
135,1617494400,56478.53,58500.0,57094.34,58215.94,6301.43187883,2021-04-04,366843780.1720545,BTC/USD
136,1617408000,56943.0,59752.0,58981.04,57094.34,8405.26400491,2021-04-03,479893000.88609314,BTC/USD
137,1617321600,58441.88,60055.02,58726.47,58981.04,10966.93017846,2021-04-02,646840947.5329564,BTC/USD
138,1617235200,57930.0,59474.94,58800.01,58726.48,11096.33004907,2021-04-01,651648404.7001084,BTC/USD
139,1617148800,56873.8,59800.0,58786.46,58800.0,17376.62672814,2021-03-31,1021745651.614632,BTC/USD
140,1617062400,57000.0,59397.48,57613.76,58786.46,15105.07669026,2021-03-30,887973986.6489019,BTC/USD
141,1616976000,54900.0,58400.0,55781.22,57613.48,17552.36885101,2021-03-29,1011253051.7502877,BTC/USD
142,1616889600,54701.0,56587.08,55856.54,55778.82,9235.80302347,2021-03-28,515162194.4015889,BTC/USD
143,1616803200,53966.0,56640.0,55080.9,55856.53,11333.33349523,2021-03-27,633040682.3763193,BTC/USD
144,1616716800,51250.0,55125.13,51320.76,55072.44,17843.00738205,2021-03-26,982657953.4675056,BTC/USD
145,1616630400,50305.0,53238.0,52259.69,51325.01,29642.04415588,2021-03-25,1521378212.7209828,BTC/USD
146,1616544000,51673.82,57209.97,54333.27,52276.16,23775.21362623,2021-03-24,1242876871.5589795,BTC/USD
147,1616457600,53000.0,55858.0,54111.49,54345.54,19221.75674,2021-03-23,1044616749.7839396,BTC/USD
148,1616371200,53739.5,58421.68,57377.29,54110.07,19512.15647151,2021-03-22,1055804152.5243592,BTC/USD
149,1616284800,55543.89,58651.22,58126.34,57363.32,11841.63877891,2021-03-21,679275714.5990236,BTC/USD
150,1616198400,57827.97,59928.0,58026.91,58116.7,9725.28123717,2021-03-20,565201252.0762377,BTC/USD
151,1616112000,56260.0,59461.99,57644.95,58039.66,16429.629743,2021-03-19,953570124.2096076,BTC/USD
152,1616025600,56996.15,60100.0,58925.54,57644.95,21459.4962399,2021-03-18,1237031587.774223,BTC/USD
153,1615939200,54138.01,58996.38,56924.26,58925.54,22687.57433043,2021-03-17,1336877568.7107265,BTC/USD
154,1615852800,53221.0,56970.0,55629.08,56927.11,24432.37878722,2021-03-16,1390864714.7817397,BTC/USD
155,1615766400,54568.0,60601.07,58972.71,55636.15,31651.39184131,2021-03-15,1760961584.1918993,BTC/USD
156,1615680000,58950.0,61680.0,61181.38,58972.7,13581.96759058,2021-03-14,800965300.1289971,BTC/USD
157,1615593600,56083.74,61788.45,57220.84,61178.5,22301.28588901,2021-03-13,1364359218.7607982,BTC/USD
158,1615507200,55050.0,58065.92,57820.15,57225.91,21760.53824103,2021-03-12,1245266602.9327412,BTC/USD
159,1615420800,54283.0,58113.0,55888.7,57815.47,24369.21216789,2021-03-11,1408917455.0162792,BTC/USD
160,1615334400,53025.0,57402.14,54921.61,55890.69,28326.07770941,2021-03-10,1583164028.1725445,BTC/USD
161,1615248000,51845.01,54936.0,52413.17,54916.38,21177.14953983,2021-03-09,1162972391.446129,BTC/USD
162,1615161600,49328.62,52425.0,50976.22,52415.23,18856.28684439,2021-03-08,988356611.8946762,BTC/USD
163,1615075200,48909.83,51459.0,48909.84,50978.61,13965.15473114,2021-03-07,711924176.628441,BTC/USD
164,1614988800,47077.0,49210.0,48766.01,48909.84,11877.83755909,2021-03-06,580943134.5610824,BTC/USD
165,1614902400,46219.32,49473.99,48370.97,48769.47,25468.18029576,2021-03-05,1242069654.8886583,BTC/USD
166,1614816000,47502.0,51798.33,50370.33,48368.52,23386.97957577,2021-03-04,1131193589.3502228,BTC/USD
167,1614729600,48161.75,52666.0,48502.18,50360.0,21301.47723933,2021-03-03,1072742393.7726588,BTC/USD
