"Data","Último","Abertura","Máxima","Mínima","Var%"
"02.07.2021","5,0575","5,0507","5,0745","4,9875","0,20%"
"01.07.2021","5,0476","4,9705","5,0557","4,9467","1,59%"
"30.06.2021","4,9686","4,9566","5,0241","4,9527","0,26%"
"29.06.2021","4,9559","4,9325","4,9714","4,9209","0,64%"
"28.06.2021","4,9244","4,9307","4,9724","4,9171","-0,18%"
"25.06.2021","4,9335","4,9143","4,9750","4,8929","0,40%"
"24.06.2021","4,9137","4,9671","4,9720","4,8977","-1,07%"
"23.06.2021","4,9667","4,9577","4,9802","4,9373","0,19%"
"22.06.2021","4,9574","5,0143","5,0459","4,9569","-1,11%"
"21.06.2021","5,0130","5,0753","5,0824","5,0129","-1,53%"
"18.06.2021","5,0907","5,0077","5,1100","4,9815","1,69%"
"17.06.2021","5,0059","5,0587","5,0760","5,0068","-0,96%"
"16.06.2021","5,0545","5,0436","5,0821","4,9921","0,18%"
"15.06.2021","5,0453","5,0635","5,1041","5,0385","-0,29%"
"14.06.2021","5,0601","5,1153","5,1190","5,0539","-1,11%"
"11.06.2021","5,1171","5,0590","5,1395","5,0530","1,22%"
"10.06.2021","5,0552","5,0650","5,0922","5,0323","-0,14%"
"09.06.2021","5,0621","5,0363","5,0863","5,0181","0,59%"
"08.06.2021","5,0325","5,0468","5,0689","5,0205","-0,25%"
"07.06.2021","5,0451","5,0466","5,0703","5,0172","-0,09%"
"04.06.2021","5,0495","5,1135","5,1154","5,0320","-0,55%"
"03.06.2021","5,0775","5,0786","5,0786","5,0780","0,04%"
"02.06.2021","5,0754","5,1515","5,1754","5,0671","-1,47%"
"01.06.2021","5,1509","5,2210","5,2212","5,1399","-1,27%"
"31.05.2021","5,2172","5,2228","5,2632","5,1982","-0,15%"
"28.05.2021","5,2252","5,2400","5,2664","5,2088","-0,25%"
"27.05.2021","5,2383","5,3120","5,3133","5,2346","-1,38%"
"26.05.2021","5,3115","5,3289","5,3435","5,2867","-0,39%"
"25.05.2021","5,3320","5,3210","5,3468","5,2941","0,27%"
"24.05.2021","5,3175","5,3664","5,3746","5,3095","-0,82%"
"21.05.2021","5,3617","5,2843","5,3710","5,2703","1,50%"
"20.05.2021","5,2825","5,3105","5,3109","5,2699","-0,51%"
"19.05.2021","5,3094","5,2608","5,3261","5,2586","0,93%"
"18.05.2021","5,2605","5,2754","5,2814","5,2298","-0,24%"
"17.05.2021","5,2729","5,2725","5,3205","5,2442","0,00%"
"14.05.2021","5,2728","5,3090","5,3090","5,2442","-0,68%"
"13.05.2021","5,3090","5,3043","5,3331","5,2519","0,05%"
"12.05.2021","5,3061","5,2227","5,3198","5,2105","1,63%"
"11.05.2021","5,2208","5,2273","5,2823","5,2031","-0,12%"
"10.05.2021","5,2272","5,2340","5,2526","5,1964","-0,18%"
"07.05.2021","5,2368","5,2768","5,2952","5,2025","-0,74%"
"06.05.2021","5,2760","5,3573","5,3752","5,2567","-1,46%"
"05.05.2021","5,3542","5,4455","5,4478","5,3512","-1,64%"
"04.05.2021","5,4435","5,4398","5,4843","5,4113","0,03%"
"03.05.2021","5,4420","5,4360","5,4561","5,3727","0,10%"
"30.04.2021","5,4366","5,3383","5,4489","5,3351","1,86%"
"29.04.2021","5,3375","5,3428","5,3798","5,3274","-0,10%"
